Id,name,company,location,position,type,or
25MeMa,Top25MedienmacherUnter35,KressPro,,,preis,
25Ne,Die25NewcomerDesJahres,KressPro,,,preis,
3SAT,3Sat,,,,employment,j
AKHi,AnnKathrinHipp,RadioEins,Berlin,FreieKommentatorin,person,
AKWe,AnnKathrinWetter,BayrischerRundfunk,Muenchen,Reporterin,person,
AlAg,AltanaAg,,Wesel,,employment,n
AlBa,AlexandraBauer,NDR,Hamburg,Moderatorin,person,
AlRh,AlexanderRhombergPreis,,,,preis,
AlSc,AlinaSchadwinkel,Zeit,Berlin,Wissenschaftsjournalistin,person,
AlZeLue,AllgemeinenZeitungderLueneburgerHeideinUelzen,,Lueneburg,,employment,n
AmAw,AmikoAward,,,,preis,
AmBe,AminataBelli,NorddeutscherRundfunk,Hamburg,FreieJournalistin,person,
AMD,AkademiefuerModeundDesign,,Hamburg,,education,
AmIn,AmnestyInternational,,London,,engagement,
AMP,AlternativerMedienPreis,SueddeutscheZeitung,Muenchen,,preis,
AMUK,AlbertusMagnusUniversitaetzuKoeln,,Koeln,,education,
AmUn,AmericanUniversity,,Washington,,education,
AmUnCa,TheAmericanUniversityinCairo,,Cairo,,education,
AmWe,AmelieMarieWeber,FunkeMediengruppe,Berlin,Redakteurin,person,
AnBi,AnnaBiselli,,,Informatikerin,person,
AnBr,AnnikaBrockschmidt,Zeit,Berlin,FreieJournalistin,person,
AnFe,AnnaFeist,ZweitesDeutscheFernsehen,Mainz,Reporterin,person,
AnGe,AngeliqueGeray,,,,person,
AnKaGe,AnneKathrinGerstlauer,DieZeit,Hamburg,Konzeption,person,
AnGr,AngelaGruber,,Hamburg,Auslandsreporterin,person,
AnKaBu,AnnKathrinBueuesker,Deutschlandfunk,Koeln,RedakteurinModeratorin,person,
AKHi,AnnKathrinHipp,RBB,Berlin,Kommentatorin,person,
AnMay,AnnaMayr,,Correctiv,FreieJournalistin,person,
AnMa,AntoniaMannweiler,FAZ,Frankfurt,Redakteurin,person,
AnPa,AnnaPaarmann,MedienhausLueneburg,Lueneburg,DigitalKoordinatorin,person,
AnPe,AnnaPetersen,LandeszeitungfuerdieLueneburgerHeide,,Pauschalistin,person,
AnRe,AnnaReuue,SueddeutscheZeitung,Muenchen,Redakteurin,person,
AnSe,AnettSelle,DieZeit,Hamburg,FreieJournalistin,person,
ARD,ArbeitsgemeinschaftDerOeffentlichRechtlichenRundfunkanstaltenDerBRD,,Berlin,,employment,j
ArStBr,ARDStudioBruessel,,Bruessel,,employment,j
ARTE,Arte,,Strassburg,,employment,j
ASP,AxelSpringerPreis,AxelSpringerAkademie,Berlin,,preis,
AxSp,AxelSpringer,AxelSpringerSE,Berlin,,employment,n
AxSpAk,AxelSpringerAkademie,AxelSpringerSE,Berlin,,education,
AyIb,AyaIbrahim,DeutscheWelle,,Reporterin,person,
BaBe,BardBerlinArtsUniversity,,Berlin,,education,
BaNeNa,BadischenNeuestenNachrichten,BadendruckGmbH,Karlsruhe,,employment,n
BaRu,BayerischerRundfunk,,Muenchen,,employment,j
BAUNWE,BauhausUniversitaetWeimar,,Weimar,,education,
BeFe,BerlinerFestspiele,,Berlin,,employment,n
BeKu,BerlinerKurier,BerlinerKurier,Berlin,,employment,n
BJVPf,BayrischerJournalistenVerbandPressefreiheitpreis,,Muenchen,,preis,
BLD,Bild,AxelSpringerSE,Berlin,,employment,n
BR,BayerischerRundfunk,,Muenchen,,employment,j
BuJo,BurdaJournalistenschule,HubertBurdaMedia,Offenburg,,education,
BuPoBi,BundeszentraleFuerPolitischeBildung,,Bonn,,employment,n
CaDr,CarolinaDrueten,WeltN24,Berlin,Redakteurin,person,
CaSc,CathrinSchmiegel,DerSpiegel,,Redakteurin,person,
CaVe,CarlsenVerlagGmbH,CarlsenVerlagGmbH,Hamburg,,employment,n
ChMe,ChristinaMetallinos,BayrischerRundfunk,Muenchen,Moderatorin,person,
CiHo,CianiSophiaHoeder,RosaMag,Muenchen,FreieMitarbeiterin,person,
CIMe,CIVISMedienpreis,AxelSpringerAkademie,,,preis,
CiUnLo,CityUniversityofLondon,,London,,education,
ClBe,ClaireBeermann,DieZeit,Hamburg,StyleDirector,person,
CoBi,CodeForBielefeld,,Bielefeld,,engagement,
CoId,CoolIdeasSocietyDeutschland,,,,preis,
CoMa,CouragiertMagazin,CouragiertMagazin,,,employment,n
CoMe,CoburgerMedienpreis,DeutscheJournalistenschule,Muenchen,,preis,
Corr,Correctiv,,Essen,,employment,n
CoUn,ColumbiaUniversityGraduateSchoolofJournalism,,NewYork,,education,
CrHe,CristinaHelberg,Correctiv,,Reporterin,person,
DAAD,DAADGermanAcademicExchangeService,,Bonn,,engagement,
DaBi,DanielaBiehl,RheinNeckarZeitung,Konstanz,FreieJournalistin,person,
DaEc,DarmstaedterEcho,EchoLive,Darmstadt,,preis,
DaFl,DaphneFlieger,ZDF,Mainz,Redaktionsleiterin,person,
DaJoAw,DataJournalismAward,,Berlin,,preis,
DaMeJo,DanmarksMedieogJournalisthojskole,,Aarhus,,education,
DeJo,DenkfestJournalistin,KulturbueroDerMetropolregionRheinNeckar,,,preis,
De,Deezer,,,,employment,n
DeBu,DeutscherBundestag,,Berlin,,employment,n
DeFe,DeutscherFernsehpreis,,,,preis,
DeFu,Deutschlandfunk,,Koeln,,employment,j
DeJoPrLaRe,DeutschesJournalistenProgrammLateinamerikaRecherchestipendium,,,,preis,
DeJoSc,DeutschenJournalistenschule,,Muenchen,,education,
DeLoJo,DeutscherLokaljournalistenpreis,KonradAdenauerStiftung,Bonn,,preis,
DePrOn,DeutscherPreisFuerOnlinekommunikation,,,,preis,
DeRaPr,DeutscherRadiopreis,Deutschlandradio,Koeln,,preis,
DeRa,Deutschlandradio,,Koeln,,employment,j
DeRe,DeutscherReporterpreis,WeltN24,Berlin,,preis,
DeSp,DerSpiegel,SPIEGELVerlagRudolfAugstein,Hamburg,,employment,n
DeTa,DerTagesspiegel,VerlagDerTagesspiegelGmbH,Berlin,,employment,n
DeWe,DeutscheWelle,,Bonn,,employment,n
DeWi,DeutscherWirtschaftsfilmpreis,BundesministeriumFuerWirtschaftUndEnergie,,,preis,
DiMeWo,DigitalMediaWomen,DigitalMediaWomenEV,Hamburg,,engagement,
DIMR,DeutschesInstitutFuerMenschenrechteRecherchestipendium,,Berlin,Recherchestipendium,preis,
DiRh,DieRheinpfalz,RheinpfalzVerlagUndDruckereiGmbHCoKG,LudwigshafenAmRhein,,employment,n
DiZe,DieZeit,ZeitverlagGerdBuceriusGmbHuCoKG,Hamburg,,employment,n
DJS,DeutscheJournalistenschule,,Muenchen,,education,
DJU,DeutscheJournalistinnenUnion,verdi,Berlin,,engagement,
DLRG,DeutscheLebensrettungsGesellschaft,,,,engagement,
DNt,DPANewsTalent,,Bern,,preis,
DoFi,DocuvistaFilmproduktion,,Berlin,,employment,n
DoSc,DorotheaSchmitz,AxelSpringerAkademie,Berlin,Schuelerin,person,
DoTo,DorotheeTorebko,MaerkischeOderzeitung,FrankfurtOder,Redakteurin,person,
DPA,DeutschePresseAgentur,DeutschePresseAgenturGmbH,Berlin,,employment,n
DpIgAw,DPAInfografikAward,WeltN24,Berlin,,preis,
DuRa,DunjaRamadan,SuedeutscheZeitung,Muenchen,Redakteurin,person,
DuUn,DurhamUniversity,,Durham,,education,
EbKaUn,EberhardKarlsUniversitaetTuebingen,,Tuebingen,,education,
EcPr,EckensbergerPreis,EckensbergerStiftung,Braunschweig,,preis,
EKU,EberhardKarlsUniversitaet,,Tuebingen,,education,
ElGa,ElisabethGamperl,SueddeutscheZeitung,Muenchen,ManagingEditor,person,
ElHa,ElisaHarlan,BayrischerRundfunk,Muenchen,Redakteurin,person,
ElHo,ElisavonHof,DerSpiegel,Hamburg,FreieJournalistin,person,
ElMeSc,ElectronicMediaSchool,,Potsdam,,education,
ElSc,ElisaSchwarz,SueddeutscheZeitung,Muenchen,Redakteurin,person,
EmUl,EmilyUlbricht,DeutschlandfunkKultur,Berlin,FreieJournalistin,person,
EnSc,EndeavorScholar,EndeavorFoundation,,,preis,
ErZi,EricaZingher,taz,Berlin,Redakteurin,person,
EuDiPuAw,EuropeanDigitalPublishingAward,MedienfachverlagOberauer,,,preis,
EuNeAw,EuropeanNewspaperAward,WeltN24,Berlin,,preis,
EuPa,EuropeanParliament,,Brussels,,employment,n
ExAwIn,ExzellenzAwardfuerInvestigativeRecherche,AxelSpringerPreis,,,preis,
FaBr,FranziskaBroich,,,EUKorrespondentin,person,
FAU,FriedrichAlexanderUniversitaet,,Nuernberg,,education,
FAZ,FrankfurterAllgemeineZeitung,FrankfurterAllgemeineZeitungGmbH,Frankfurt,,employment,n
FEJS,ForumForEuropeanJournalismStudents,,,,engagement,
FiUnBa,FilmuniversitaetBabelsbergKonradWolf,,Babelsberg,,education,
FIVP,FriedrichundIsabelVogelPreis,FriedrichIsabelVogelStiftung,Essen,Wirtschaftsjournalismus,preis,
FJS,FreieJournalistenSchule,,Berlin,,education,
FoMa,FocusMagazin,FocusMagazin,Berlin,,employment,n
Fora,ForaNetworkforChange,,Toronto,,engagement,
FrGr,FranziskaGrillmeier,DieZeit,Hamburg,FreieJournalistin,person,
FrInSyInRe,FraunhoferInstituteforSystemsandInnovationResearchISI,,Karlsruhe,,education,
FrIPA,FraunhoferIPA,,Mannheim,,education,
FrJo,FreieJournalistin,,,,employment,n
FrKe,FranziVonKempis,,Berlin,Redakteurin,person,
FrKl,FranziskaKlemenz,Saechsischde,Dresden,Reporterin,person,
FrSc,Freischreiber,,Hamburg,,employment,n
FrUnBe,FreieUniversitaetBerlin,,Berlin,,education,
FuAs,FunkhausAschaffenburg,,Aschaffenburg,,employment,n
FuMe,FunkeMediengruppe,FunkeMediengruppe,Berlin,,employment,n
Funk,funkContentNetzwerkvonARDundZDF,,Mainz,,employment,j
FVP,FriedrichVogelPreis,WirtschaftsWoche,Berlin,,preis,
GeEmLo,GermanEmbassyLondon,,London,,employment,n
GeHoPr,GeorgvonHoltzbrinckPreisfuerWirtschaftsjournalismus,VerlagsgruppeGeorgvonHoltzbrinck,,,preis,
GiFo,GioiaForster,DPA,,Volontarin,person,
GiNi,GiannaNiewel,SuedeutscheZeitung,Muenchen,Redakteurin,person,
GLJA,GermanLocalJournalistAward,SueddeutscheZeitung,Muenchen,,preis,
GlMeAw,GlobalMediaAward,InternationalNewsMediaAssociation,,,preis,
GOA,GrimmeOnlineAward,GrimmeInstitut,Marl,,preis,
GoBo,GoldenerBlogger,,,,preis,
GoeUn,GoetheUniversitaet,,Frankfurt,,education,
GoIn,GoetheInstitutRecherchestipendium,GoetheInstitut,Muenchen,,preis,
GoInJo,GoetheInstitutJohannesburg,,Johannesburg,,education,
GoNe,GoldNewsAndPoliticsInVideo,TheLovieAwards,,,preis,
GrOnAw,GrimmeOnlineAward,,,,preis,
GrUJa,VerlagshausGrunerUJahr,GrunerUndJahrGmbH,Hamburg,,employment,n
GSP,GeorgSchreiberPreis,SueddeutscheZeitung,Muenchen,,preis,
GuRe,GutenbergRecherchepreis,VRMMediengruppe,Mainz,,preis,
HaKeSc,HarvardKennedySchool,,Cambridge,,education,
HaKn,HannahKnuth,DieZeit,Hamburg,Redakteurin,person,
HaMe,HamburgMediaSchool,,Hamburg,,education,
HaSc,HannahSchwaer,AxelSpringerAkademie,Berlin,Schuelerin,person,
HdM,HochschuleDerMedien,,Stuttgart,,education,
HeBi,HelenBielawa,DeutschePresseAgenturGmbH,Bielefeld,FreieJournalistin,person,
HeBoSt,HeinrichBoellStiftungRecherchestipendium,,Berlin,,preis,
HeHe,HeinrichHeineUniversitaetDuesseldorf,,Duesseldorf,,education,
HeNaSc,HenriNannenSchule,,Hamburg,,education,
HeRe,HeleneReiner,BayrischerRundfunk,Muenchen,Nachrichtensprecherin,person,
HeRiLa,HenryRichardsonLabouissePreis,PrincetonUniversity,,,preis,
HeRu,HessischenRundfunk,,Frankfurt,,employment,j
HeScJoPr,HelmutSchmidtJournalistenpreis,INGDiBa,,,preis,
HeScNaPr,HelmutSchmidtNachwuchspreis,INGDiBa,,,preis,
HeSt,HeilbronnerStimme,HeilbronnerStimmeGmbHUndCoKG,Heilbronn,,employment,n
HHU,HeinrichHeineUniversitaet,,Duesseldorf,,education,
HKTW,HochschuleKarlsruhefuerTechnikundWirtschaft,,,,education,
HMKW,HochschulefuerMedienKommunikationundWirtschaft,,Berlin,,education,
HNJo,HenriNannenJournalistenschule,,Hamburg,,education,
HNP,HenryNonsensPreis,DummyMagazin,Berlin,,preis,
HoMaSt,HochschuleMagdeburgStendal,,Magdeburg,,education,
HoMe,HolzmannMedienGmbH,,,,employment,n
HoDi,HochschulperleDigital,,,,education,
HoMit,HochschuleMittweida,,Mittweida,,education,
HoUt,HogeschoolUtrecht,,Utrecht,,education,
HQM,HerbertQuandtMedienpreis,WirtschaftsWoche,Berlin,,preis,
Hu11FiGu,Hunter11Films,,Guatemala,,employment,n
HuBuMe,HubertBurdaMedia,HubertBurdaMedia,Berlin,,employment,n
HuUnBe,HumboldtUniversitaetBerlin,,Berlin,,education,
IEA,InternationalEmmyAwards,ZweitesDeutschesFernsehen,Mainz,,preis,
IFN,InstitutzurFoerderungpublizistischenNachwuchses,,Muenchen,,education,
IlKn,IlkaKnigge,DLF,Koeln,Ressortleiterin,person,
IMJU,InternationalMusicJournalismAward,,,,preis,
InBeAw,InformationIsBeautifulAward,,,,preis,
InMo,InstitutFuerModeration,,Stuttgart,,education,
InMuJoAw,InternationalMusicJournalismAward,DasReeperbahnFestival,Hamburg,,preis,
InPr,InnovationspreisBeimMedienkompetenzpreis,FishFestival,,,preis,
ipas,InternationalAndPublicAffairsSociety,,London,,engagement,
IrMe,IrisMeinhardt,BayerischerRundfunk,Muenchen,Volontaerin,person,
IsBe,IsabellBeer,Funk,Berlin,Redakteurin,person,
IsBiUe,IstanbulBilgiUeniversitesi,,Istanbul,,education,
IsRu,IsabelRuf,BadischeNeusteNachrichten,Karlsruhe,Redakteurin,person,
JaGo,JacquelineGoebel,Wirtschaftswoche,Berlin,Redakteurin,person,
JaOf,JasminOff,SchwaebischeZeitung,,Redaktionsleiterin,person,
JeBa,JessicaBaker,DeutschenHandwerksZeitung,BadWoerishofen,Redakteurin,person,
JoAk,JournalistenakademieDerKonradAdenauerStiftung,KonradAdenauerStiftung,,,education,
JoGu,JohannesGutenbergUniversitaet,,Mainz,,education,
jone,JournalistsNetwork,,,,engagement,
JoSo,JournalistischerSonderpreisRechtsextremismusImSpiegelDerMedien,DeutschenJournalistenVerband,,,preis,
JOTY,JournalistOfTheYear,FreieJournalistin,Berlin,,preis,
JuKl,JuliaKlaus,ZDF,Mainz,Redakteurin,person,
JuLo,JuliaLorenz,DerSpiegel,Hamburg,FreieJournalistin,person,
JuWe,JuliaWeller,BadischenNeuestenNachrichten,Karlsruhe,FreieJournalistin,person,
JWGU,JohannWolfgangGoetheUniversitaet,,Frankfurt,,education,
KaBr,KatharinaBrunner,SZ,,Datenjournalistin,person,
KaHe,KatharinaHeckendorf,DieZeit,Hamburg,FreieJournalistin,person,
KaJo,KatholischeJournalistenschuleIFP,,Muenchen,,education,
KaKl,KajaKlapsa,WeltN24,Berlin,Redakteurin,person,
KaMe,KAUSAMedienpreis,BundesministeriumBildungForschung,Bonn,,education,
KaUnEi,KatholischeUniversitaetEichstaettIngolstadt,,,,education,
KaWe,KathrinWesolowski,DeutscheWelle,Mainz,Reporterin,person,
KDJ,KonradDudenJournalistenpreis,DieZeit,Hamburg,,preis,
KiSc,KiraSchacht,DeutscheWelle,Bonn,FreieJournalistin,person,
KIT,KarlsruherInstitutfuerTechnologie,,Karlsruhe,,education,
KoAdSt,KonradAdenauerStiftung,,Bonn,,education,
KoeSt,KoelnerStadtAnzeiger,,Koeln,,employment,n
KoJo,KoelnerJournalistenschule,KoelnerJournalistenschuleFuerPolitikUndWirtschaftEV,Koeln,,education,
KrLe,KreuzerDasLeipzigMagazin,KreuzerMedienGmbH,Leipzig,,employment,n
Kubu,Kulturbuddys,Caritasverband,Berlin,ehrenamtlicheMitarbeiterin,engagement,
LaAh,LaurinaAhlers,SuedlaenderTageblatt,Plettenberg,FreieJournalistin,person,
